download_link,filename,date,location,edition
https://web.archive.org/web/20250208125426/https://aeronav.faa.gov/visual/01-25-2024/All_Files/Planning.zip,web.archive.org_web_20250208125426_aeronav.faa.gov_visual_01-25-2024_All_Files_Planning.zip,2024-01-25,Planning,Unknown
https://web.archive.org/web/20240420162237/https://aeronav.faa.gov/visual/01-25-2024/PDFs/AK_WallPlan.pdf,web.archive.org_web_20240420162237_aeronav.faa.gov_visual_01-25-2024_PDFs_AK_WallPlan.pdf,2024-01-25,AK WallPlan,Unknown
https://web.archive.org/web/20240130205603/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Albuquerque.pdf,web.archive.org_web_20240130205603_aeronav.faa.gov_visual_01-25-2024_PDFs_Albuquerque.pdf,2024-01-25,Albuquerque,Unknown
https://web.archive.org/web/20240420164751/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Anchorage-Fairbanks_TAC.pdf,web.archive.org_web_20240420164751_aeronav.faa.gov_visual_01-25-2024_PDFs_Anchorage-Fairbanks_TAC.pdf,2024-01-25,Anchorage-Fairbanks,Unknown
https://web.archive.org/web/20240420171640/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Anchorage.pdf,web.archive.org_web_20240420171640_aeronav.faa.gov_visual_01-25-2024_PDFs_Anchorage.pdf,2024-01-25,Anchorage,Unknown
https://web.archive.org/web/20240420174905/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Atlanta.pdf,web.archive.org_web_20240420174905_aeronav.faa.gov_visual_01-25-2024_PDFs_Atlanta.pdf,2024-01-25,Atlanta,Unknown
https://web.archive.org/web/20240321141925/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Atlanta_TAC.pdf,web.archive.org_web_20240321141925_aeronav.faa.gov_visual_01-25-2024_PDFs_Atlanta_TAC.pdf,2024-01-25,Atlanta,Unknown
https://web.archive.org/web/20240420174824/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Balt-Wash_Heli.pdf,web.archive.org_web_20240420174824_aeronav.faa.gov_visual_01-25-2024_PDFs_Balt-Wash_Heli.pdf,2024-01-25,Balt-Wash,Unknown
https://web.archive.org/web/20240321141913/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Baltimore-Washington_TAC.pdf,web.archive.org_web_20240321141913_aeronav.faa.gov_visual_01-25-2024_PDFs_Baltimore-Washington_TAC.pdf,2024-01-25,Baltimore-Washington,Unknown
https://web.archive.org/web/20240420170309/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Bethel.pdf,web.archive.org_web_20240420170309_aeronav.faa.gov_visual_01-25-2024_PDFs_Bethel.pdf,2024-01-25,Bethel,Unknown
https://web.archive.org/web/20240420170401/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Billings.pdf,web.archive.org_web_20240420170401_aeronav.faa.gov_visual_01-25-2024_PDFs_Billings.pdf,2024-01-25,Billings,Unknown
https://web.archive.org/web/20240420174208/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Boston_Heli.pdf,web.archive.org_web_20240420174208_aeronav.faa.gov_visual_01-25-2024_PDFs_Boston_Heli.pdf,2024-01-25,Boston,Unknown
https://web.archive.org/web/20240420155944/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Boston_TAC.pdf,web.archive.org_web_20240420155944_aeronav.faa.gov_visual_01-25-2024_PDFs_Boston_TAC.pdf,2024-01-25,Boston,Unknown
https://web.archive.org/web/20240321141855/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Brownsville.pdf,web.archive.org_web_20240321141855_aeronav.faa.gov_visual_01-25-2024_PDFs_Brownsville.pdf,2024-01-25,Brownsville,Unknown
