URL,MIME Type,First Capture,Last Capture,Total Captures,File Size (bytes),Content Digest (SHA-1)
https://aeronav.faa.gov/visual/,text/html,20211208003544,20250802194224,6,858,7ZFIGDBN5JKTUEQ7ATLIVPDR2HQ22XGU
https://aeronav.faa.gov/visual/01-22-2026/,text/html,20250802194230,20250802194230,1,3123,AB2BEGSRBUULPAB3PF6APTS5XSLVO44W
https://aeronav.faa.gov/visual/01-22-2026/All_Files/,text/html,20250802194457,20250802194457,1,2997,3CEXM23NUFI3KJB3OQF4Q26ABQZMT6PN
https://aeronav.faa.gov/visual/01-22-2026/Caribbean/,text/html,20250802194455,20250802194455,1,3002,4BY6EFR3X5TZQDV735RMA4CXMYCFZFOD
https://aeronav.faa.gov/visual/01-22-2026/Grand_Canyon_files/,text/html,20250802194456,20250802194456,1,3012,MOFKXKEOIJDRRCIK73H57YXN54SZXRA6
https://aeronav.faa.gov/visual/01-22-2026/Heli_files/,text/html,20250802194454,20250802194454,1,3005,WKWIN5IMM5W3RLH2DOFSS4A3ZE4MWVWF
https://aeronav.faa.gov/visual/01-22-2026/PDFs/,text/html,20250802194456,20250802194456,1,3002,HRW3UQRFVW3INED7D7RRNLYTDF4YF7YD
https://aeronav.faa.gov/visual/01-22-2026/Planning/,text/html,20250802194457,20250802194457,1,3003,UGSIW2KS6RFS6CGME7ORBH324SKTZPGN
https://aeronav.faa.gov/visual/01-22-2026/sectional-files/,text/html,20250802194455,20250802194455,1,3011,YJZNIXURC5Y7AR3T3H5LJCD63P7E7PAL
https://aeronav.faa.gov/visual/01-22-2026/tac-files/,text/html,20250802194453,20250802194453,1,3006,DTEAXBXZMAXJ2NVCIBMJZOGH4UBIG2HM
https://aeronav.faa.gov/visual/01-25-2024/,text/html,20240905152845,20250208112358,2,3776,TBBRZTFW2DMQVXZR4C6YMNNKRV6B3LQB
https://aeronav.faa.gov/visual/01-25-2024/All_Files/,text/html,20240905190508,20250208112523,2,3281,VN5DJHPNHPZJDD4GIAGZJVA5P5L4NZTS
https://aeronav.faa.gov/visual/01-25-2024/All_Files/Planning.zip,application/x-zip-compressed,20250208125426,20250208125426,1,100329711,LKHPLQXWWFHOLTUDKRARK75T4KZFBH6Z
https://aeronav.faa.gov/visual/01-25-2024/Caribbean/,text/html,20240912231004,20250208112520,2,3267,UY3SRU7RCBQ7M5UTAZFG22KNBMJWECV2
