source,file,action
archive2004,Albuquerque North.jpg,ADD Albuquerque 2004-05-13->2004-10-28 ed 73
archive2004,Albuquerque South.jpg,ADD Albuquerque 2004-05-13->2004-10-28 ed 73
archive2004,Anchorage North.jpg,ADD Anchorage 2004-06-10->2004-11-25 ed 74
archive2004,Anchorage South.jpg,ADD Anchorage 2004-06-10->2004-11-25 ed 74
archive2004,Atlanta North.jpg,ADD Atlanta 2004-03-18->2004-09-02 ed 72
archive2004,Atlanta South.jpg,ADD Atlanta 2004-03-18->2004-09-02 ed 72
archive2004,Bethel North.jpg,ADD Bethel 2003-08-07->2004-08-05 ed 45
archive2004,Bethel South.jpg,ADD Bethel 2003-08-07->2004-08-05 ed 45
archive2004,Billings North.jpg,ADD Billings 2004-03-18->2004-09-02 ed 67
archive2004,Billings South.jpg,ADD Billings 2004-03-18->2004-09-02 ed 67
archive2004,Brownsville North.jpg,ADD Brownsville 2004-06-10->2004-11-25 ed 73
archive2004,Brownsville South.jpg,ADD Brownsville 2004-06-10->2004-11-25 ed 73
archive2004,Cape Lisburne North.jpg,ADD Cape Lisburne 2003-09-04->2004-09-02 ed 37
archive2004,Cape Lisburne South.jpg,ADD Cape Lisburne 2003-09-04->2004-09-02 ed 37
archive2004,Charlotte North.jpg,ADD Charlotte 2004-01-22->2004-08-05 ed 75
archive2004,Charlotte South.jpg,ADD Charlotte 2004-01-22->2004-08-05 ed 75
archive2004,Cheyenne North.jpg,ADD Cheyenne 2004-01-22->2004-08-05 ed 69
archive2004,Cheyenne South.jpg,ADD Cheyenne 2004-01-22->2004-08-05 ed 69
archive2004,Chicago North.jpg,ADD Chicago 2004-05-13->2004-10-28 ed 68
archive2004,Chicago South.jpg,ADD Chicago 2004-05-13->2004-10-28 ed 68
archive2004,Cincinnati North.jpg,ADD Cincinnati 2004-07-08->2004-12-23 ed 72
archive2004,Cincinnati South.jpg,ADD Cincinnati 2004-07-08->2004-12-23 ed 72
archive2004,Cold Bay.jpg,ADD Cold Bay 2004-02-19->2005-02-17 ed 37
archive2004,Dallas-Ft Worth North.jpg,ADD Dallas-Ft Worth 2004-03-18->2004-09-30 ed 72
archive2004,Dallas-Ft Worth South.jpg,ADD Dallas-Ft Worth 2004-03-18->2004-09-30 ed 72
archive2004,Dawson North.jpg,ADD Dawson 2003-10-30->2004-10-28 ed 37
archive2004,Dawson South.jpg,ADD Dawson 2003-10-30->2004-10-28 ed 37
archive2004,Denver North.jpg,ADD Denver 2004-01-22->2004-08-05 ed 70
archive2004,Denver South.jpg,ADD Denver 2004-01-22->2004-08-05 ed 70
archive2004,Detroit North.jpg,ADD Detroit 2004-04-15->2004-09-30 ed 68
archive2004,Detroit South.jpg,ADD Detroit 2004-04-15->2004-09-30 ed 68
archive2004,Dutch Harbor North.jpg,ADD Dutch Harbor 2004-03-18->2005-03-17 ed 37
archive2004,Dutch Harbor South.jpg,ADD Dutch Harbor 2004-03-18->2005-03-17 ed 37
archive2004,El Paso North.jpg,ADD El Paso 2004-02-19->2004-08-05 ed 72
