filename,location,date,field,old,new,how
ca000321.tif,"Bellingham, WA",1945-04-12,date,,1945-04-12,date read from chart scan
ca001306r.tif,"Dubuque, IA",1955-06-13,date,,1955-06-13,date read from chart scan
ca002369r.tif,"Miles City, MT",1957-10-24,date,,1957-10-24,date read from chart scan
ca003189.tif,"Roswell, NM",1945-09-18,date,,1945-09-18,date read from chart scan
ca003531.tif,"Savannah, GA",1942-06-18,date,,1942-06-18,date read from chart scan
ca002069r.tif,"Las Vegas, NV",2000-09-07,end_date,2000-03-22,2001-03-22,end read from chart scan (year typo)
ca000005.tif,"Aberdeen, SD",1940-04-01,end_date,,1941-06-26,"date + typical period (loc median +-6y (n=4), typ 451d); was missing"
ca000008.tif,"Aberdeen, SD",1944-12-07,end_date,1944-12-07,1945-12-11,copied from same-date twin
ca000025.tif,"Aberdeen, SD",1953-01-01,end_date,,1953-05-29,"snapped to next edition start (loc median +-6y (n=17), typ 195d); was missing"
WASP_02-2007-02-423_01.tif,"Albany, NY",1943-05-06,end_date,,1944-05-04,copied from same-date twin
ca000056r.tif,"Albany, NY",1960-11-18,end_date,,1961-05-21,"date + typical period (loc median +-6y (n=16), typ 184d); was missing"
ca000155.tif,"Albuquerque, NM",1932-03-01,end_date,,1933-01-01,"date + typical period (loc median +-6y (n=3), typ 306d); was missing"
ca000151.tif,"Albuquerque, NM",1937-02-01,end_date,,1938-02-02,"date + typical period (loc median +-6y (n=7), typ 366d); was missing"
WASP_02-2007-02-424_01.tif,"Albuquerque, NM",1943-08-12,end_date,,1944-02-17,"snapped to next edition start (loc median +-6y (n=12), typ 193d); was missing"
ca000145.tif,"Albuquerque, NM",1944-02-17,end_date,,1944-08-27,"date + typical period (loc median +-6y (n=13), typ 192d); was missing"
ca000114r.tif,"Albuquerque, NM",1961-02-28,end_date,,1961-08-28,"date + typical period (loc median +-6y (n=15), typ 181d); was missing"
ca000186.tif,"Aroostook, ME",1935-11-01,end_date,,1936-05-08,"date + typical period (loc median +-12y (n=7), typ 189d); was missing"
ca000184.tif,"Aroostook, ME",1942-06-25,end_date,,1942-12-31,"date + typical period (loc median +-6y (n=9), typ 189d); was missing"
ca000166r.tif,"Aroostook, ME",1954-05-07,end_date,,1954-11-17,"date + typical period (loc median +-6y (n=12), typ 194d); was missing"
ca000164r.tif,"Aroostook, ME",1957-04-30,end_date,,1957-11-12,"date + typical period (loc median +-6y (n=8), typ 196d); was missing"
