source_kind,group,name,status,detail,size_mb,modified,paths
local_file,loc_ca_scan,ca002354.tif,missing,ca number absent from dole,485.1,2025-12-12,/Volumes/projects/rawtiffs/ca002354.tif | /Volumes/projects/map working folder/Milwaukee/ca002354.tif
local_file,loc_ca_scan,ca003008r.tif,missing,ca number absent from dole,793.7,2025-12-11,/Volumes/projects/rawtiffs/ca003008r.tif | /Volumes/projects/map working folder/Portland/ca003008r.tif
local_file,loc_ca_scan,ca003008v.tif,missing,ca number absent from dole,794.1,2025-12-11,/Volumes/projects/rawtiffs/ca003008v.tif
local_file,loc_ca_scan,ca003018.tif,missing,ca number absent from dole,818.4,2025-12-11,/Volumes/projects/rawtiffs/ca003018.tif | /Volumes/projects/map working folder/Portland/ca003018.tif
local_file,loc_ca_scan,ca003019.tif,missing,ca number absent from dole,823.5,2025-12-11,/Volumes/projects/rawtiffs/ca003019.tif | /Volumes/projects/map working folder/Portland/ca003019.tif
local_file,loc_ca_scan,ca003020.tif,missing,ca number absent from dole,822.2,2025-12-11,/Volumes/projects/rawtiffs/ca003020.tif | /Volumes/projects/map working folder/Portland/ca003020.tif
local_file,loc_ca_scan,ca003021.tif,missing,ca number absent from dole,815.3,2025-12-11,/Volumes/projects/rawtiffs/ca003021.tif | /Volumes/projects/map working folder/Portland/ca003021.tif
local_file,sec_chart,Dallas-Ft Worth SEC 92.tif,missing,no match in dole,65.1,2014-03-07,/Volumes/projects/SectionalProject/misc maps/Dallas-Ft_Worth_92/Dallas-Ft Worth SEC 92.tif | /Users/ryanhemenway/Library/Mobile Documents/com~apple~CloudDocs/archive.aero_cloud/misc maps/Dallas-Ft_Worth_92/Dallas-Ft Worth SEC 92.tif
local_file,sec_chart,Dallas-Ft Worth SEC 94.tif,missing,no match in dole,65.1,2015-01-28,/Volumes/projects/SectionalProject/misc maps/Dallas-Ft_Worth_94/Dallas-Ft Worth SEC 94.tif | /Users/ryanhemenway/Library/Mobile Documents/com~apple~CloudDocs/archive.aero_cloud/misc maps/Dallas-Ft_Worth_94/Dallas-Ft Worth SEC 94.tif
local_file,sec_chart,Dallas-Ft Worth SEC 96.tif,missing,no match in dole,65.1,2016-01-31,/Volumes/projects/SectionalProject/misc maps/Dallas-Ft_Worth_96/Dallas-Ft Worth SEC 96.tif | /Users/ryanhemenway/Library/Mobile Documents/com~apple~CloudDocs/archive.aero_cloud/misc maps/Dallas-Ft_Worth_96/Dallas-Ft Worth SEC 96.tif
local_file,sec_chart,Dallas-Ft Worth SEC_output.tif,missing,no match in dole,73.0,2025-11-17,/Volumes/projects/SectionalProject/misc maps/Dallas-Ft_Worth/Dallas-Ft Worth SEC_output.tif | /Users/ryanhemenway/Library/Mobile Documents/com~apple~CloudDocs/archive.aero_cloud/misc maps/Dallas-Ft_Worth/Dallas-Ft Worth SEC_output.tif
local_file,sec_chart,Honolulu_Inset_SEC_95.tif,missing,no match in dole,4.5,2026-01-02,/Volumes/projects/rawtiffs/Honolulu_Inset_SEC_95.tif | /Volumes/projects/deep archive/national archive/Honolulu_Inset_SEC_95.tif
local_file,sec_chart,Mariana_Islands_Inset_SEC_95.tif,missing,no match in dole,2.8,2026-01-02,/Volumes/projects/rawtiffs/Mariana_Islands_Inset_SEC_95.tif | /Volumes/projects/deep archive/national archive/Mariana_Islands_Inset_SEC_95.tif
