path_in_rawtiffs,old_row_filename,location,date,new_row_filename,reason
01-22-2026/web.archive.org_web_20260109103102_aeronav.faa.gov_visual_01-22-2026_PDFs_Western_Aleutian_Islands.pdf,web.archive.org_web_20260109103102_aeronav.faa.gov_visual_01-22-2026_PDFs_Western_Aleutian_Islands.tif,Western Aleutian Islands,2026-01-22,(row dropped),"combined W. Aleutian sheet, east-cut 300-dpi PDF conversion, superseded by the FAA East + West halves"
01-22-2026/web.archive.org_web_20260109103102_aeronav.faa.gov_visual_01-22-2026_PDFs_Western_Aleutian_Islands.tif,web.archive.org_web_20260109103102_aeronav.faa.gov_visual_01-22-2026_PDFs_Western_Aleutian_Islands.tif,Western Aleutian Islands,2026-01-22,(row dropped),"combined W. Aleutian sheet, east-cut 300-dpi PDF conversion, superseded by the FAA East + West halves"
03-19-2026/archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Western_Aleutian_Islands.pdf,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Western_Aleutian_Islands.tif,Western Aleutian Islands,2026-03-19,(row dropped),"combined W. Aleutian sheet, east-cut 300-dpi PDF conversion, superseded by the FAA East + West halves"
03-19-2026/archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Western_Aleutian_Islands.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Western_Aleutian_Islands.tif,Western Aleutian Islands,2026-03-19,(row dropped),"combined W. Aleutian sheet, east-cut 300-dpi PDF conversion, superseded by the FAA East + West halves"
web.archive.org_web_20251223212120_aeronav.faa.gov_visual_11-27-2025_PDFs_Western_Aleutian_Islands.tif,web.archive.org_web_20251223212120_aeronav.faa.gov_visual_11-27-2025_PDFs_Western_Aleutian_Islands.tif,Western Aleutian Islands,2025-11-27,(row dropped),"combined W. Aleutian sheet, east-cut 300-dpi PDF conversion, superseded by the FAA East + West halves"
01-22-2026/web.archive.org_web_20260109102852_aeronav.faa.gov_visual_01-22-2026_PDFs_San_Antonio.pdf,web.archive.org_web_20260109102852_aeronav.faa.gov_visual_01-22-2026_PDFs_San_Antonio.tif,San Antonio,2026-01-22,acasis_sec_01-22-2026_San_Antonio.zip,superseded by FAA original
01-22-2026/web.archive.org_web_20260109102852_aeronav.faa.gov_visual_01-22-2026_PDFs_San_Antonio.tif,web.archive.org_web_20260109102852_aeronav.faa.gov_visual_01-22-2026_PDFs_San_Antonio.tif,San Antonio,2026-01-22,acasis_sec_01-22-2026_San_Antonio.zip,superseded by FAA original
01-22-2026/web.archive.org_web_20260109102857_aeronav.faa.gov_visual_01-22-2026_PDFs_Seward.pdf,web.archive.org_web_20260109102857_aeronav.faa.gov_visual_01-22-2026_PDFs_Seward.tif,Seward,2026-01-22,acasis_sec_01-22-2026_Seward.zip,superseded by FAA original
01-22-2026/web.archive.org_web_20260109102857_aeronav.faa.gov_visual_01-22-2026_PDFs_Seward.tif,web.archive.org_web_20260109102857_aeronav.faa.gov_visual_01-22-2026_PDFs_Seward.tif,Seward,2026-01-22,acasis_sec_01-22-2026_Seward.zip,superseded by FAA original
01-22-2026/web.archive.org_web_20260109102900_aeronav.faa.gov_visual_01-22-2026_PDFs_El_Paso.pdf,web.archive.org_web_20260109102900_aeronav.faa.gov_visual_01-22-2026_PDFs_El_Paso.tif,El Paso,2026-01-22,acasis_sec_01-22-2026_El_Paso.zip,superseded by FAA original
01-22-2026/web.archive.org_web_20260109102900_aeronav.faa.gov_visual_01-22-2026_PDFs_El_Paso.tif,web.archive.org_web_20260109102900_aeronav.faa.gov_visual_01-22-2026_PDFs_El_Paso.tif,El Paso,2026-01-22,acasis_sec_01-22-2026_El_Paso.zip,superseded by FAA original
01-22-2026/web.archive.org_web_20260109102901_aeronav.faa.gov_visual_01-22-2026_PDFs_St_Louis.pdf,web.archive.org_web_20260109102901_aeronav.faa.gov_visual_01-22-2026_PDFs_St_Louis.tif,St Louis,2026-01-22,acasis_sec_01-22-2026_St_Louis.zip,superseded by FAA original
01-22-2026/web.archive.org_web_20260109102901_aeronav.faa.gov_visual_01-22-2026_PDFs_St_Louis.tif,web.archive.org_web_20260109102901_aeronav.faa.gov_visual_01-22-2026_PDFs_St_Louis.tif,St Louis,2026-01-22,acasis_sec_01-22-2026_St_Louis.zip,superseded by FAA original
01-22-2026/web.archive.org_web_20260109102904_aeronav.faa.gov_visual_01-22-2026_PDFs_Kodiak.pdf,web.archive.org_web_20260109102904_aeronav.faa.gov_visual_01-22-2026_PDFs_Kodiak.tif,Kodiak,2026-01-22,acasis_sec_01-22-2026_Kodiak.zip,superseded by FAA original
